maturity,baseline_r2,cirpp_r2,cirpp_rmse
ZC050YR,0.9873803192035826,0.8778856354625225,0.0027539646418370868
ZC075YR,0.938107251511157,0.9177820134241486,0.0020702400359238044
ZC100YR,0.8392642411822129,0.9235258940228854,0.001819932877617523
ZC200YR,-0.11821829732811606,0.6316099532750596,0.0028387436180394203
ALL_TEST_MATURITIES,0.8034976363940212,0.8711107238914172,0.0024104375154120573
